Data Point,Subject,Source,Dates
Mode to Work,Modes,"ACS 1yr Data Table B08301 for King, Kitsap, Pierce and Snohomish counties","2010-2019, 2021, 2022"
Mode to Work,Modes,"ACS 5yr Data Table B08301 for King, Kitsap, Pierce and Snohomish counties",2020
